iter	Passed	Remaining
0	0	744
1	1	618
2	1	567
3	2	540
4	2	528
5	3	538
6	3	547
7	4	543
8	4	549
9	5	542
10	5	531
11	6	532
12	7	532
13	7	528
14	7	521
15	8	515
16	8	515
17	9	522
18	10	530
19	10	530
20	11	527
21	11	523
22	12	520
23	12	516
24	13	512
25	13	507
26	13	503
27	14	501
28	14	500
29	15	502
30	16	504
31	16	501
32	17	498
33	17	497
34	17	495
35	18	494
36	18	493
37	19	494
38	20	498
39	20	497
40	21	503
41	22	517
42	23	522
43	24	524
44	24	525
45	25	523
46	25	522
47	26	520
48	26	521
49	27	522
50	28	521
51	28	519
52	28	516
53	29	514
54	29	512
55	30	510
56	30	509
57	31	507
58	31	505
59	32	504
60	32	502
61	33	507
62	34	507
63	34	507
64	35	506
65	35	507
66	36	507
67	36	506
68	37	504
69	37	501
70	38	499
71	38	502
72	39	503
73	41	514
74	41	517
75	42	518
76	43	519
77	43	518
78	44	519
79	45	518
80	46	526
81	49	548
82	49	545
83	49	543
84	50	541
85	50	539
86	51	539
87	52	539
88	52	538
89	53	537
90	53	536
91	54	534
92	54	534
93	55	532
94	55	530
95	56	528
96	56	526
97	57	526
98	57	525
99	58	530
100	60	534
101	61	537
102	61	536
103	62	537
104	62	536
105	63	536
106	64	537
107	64	535
108	65	533
109	65	531
110	66	533
111	67	532
112	67	530
113	68	530
114	68	530
115	69	529
116	69	527
117	70	526
118	70	524
119	71	521
120	71	519
121	71	517
122	72	515
123	72	512
124	72	510
125	73	508
126	73	508
127	74	507
128	76	513
129	76	514
130	78	519
131	78	518
132	79	517
133	79	516
134	80	516
135	81	516
136	82	517
137	82	516
138	83	514
139	83	513
140	83	511
141	84	509
142	84	507
143	85	505
144	85	504
145	85	502
146	86	502
147	88	506
148	88	507
149	89	506
150	89	505
151	90	504
152	90	503
153	91	501
154	91	500
155	92	498
156	92	497
157	93	497
158	94	498
159	94	498
160	95	500
161	96	499
162	97	498
163	97	496
164	97	495
165	98	495
166	99	495
167	99	495
168	100	495
169	101	496
170	102	495
171	102	494
172	103	493
173	103	492
174	104	491
175	104	491
176	105	490
177	105	489
178	106	488
179	107	488
180	107	487
181	108	486
182	108	484
183	109	483
184	109	482
185	109	480
186	110	479
187	111	480
188	112	480
189	112	481
190	113	481
191	114	480
192	114	479
193	115	478
194	115	477
195	116	476
196	116	475
197	117	475
198	118	475
199	118	474
200	119	473
201	119	472
202	120	471
203	120	470
204	120	469
205	121	468
206	122	469
207	123	469
208	123	469
209	124	468
210	124	467
211	125	466
212	126	465
213	126	464
214	127	463
215	127	462
216	128	462
217	128	462
218	129	461
219	129	460
220	130	459
221	131	459
222	131	459
223	132	458
224	132	457
225	133	456
226	133	456
227	134	456
228	135	457
229	137	461
230	138	462
231	139	461
232	139	460
233	140	459
234	141	459
235	141	458
236	142	457
237	142	456
238	143	455
239	143	454
240	143	453
241	144	452
242	144	451
243	145	450
244	145	449
245	146	448
246	146	447
247	147	446
248	147	446
249	148	445
250	149	444
251	149	443
252	150	443
253	150	442
254	151	441
255	151	440
256	151	439
257	152	439
258	153	439
259	155	442
260	156	443
261	157	442
262	157	441
263	158	440
264	158	439
265	159	439
266	160	439
267	160	439
268	161	438
269	161	437
270	162	435
271	162	435
272	163	434
273	163	433
274	164	432
275	164	432
276	165	431
277	165	430
278	166	429
279	166	428
280	167	428
281	167	427
282	168	426
283	168	425
284	169	424
285	169	423
286	170	423
287	171	424
288	173	427
289	174	427
290	175	426
291	175	425
292	175	424
293	176	424
294	177	423
295	177	422
296	178	422
297	178	421
298	179	420
299	179	419
300	180	418
301	181	419
302	182	418
303	182	418
304	184	419
305	184	418
306	185	417
307	185	416
308	185	415
309	186	414
310	186	413
311	187	412
312	187	411
313	188	410
314	188	409
315	189	409
316	190	409
317	191	409
318	192	410
319	192	409
320	193	408
321	193	407
322	194	406
323	194	406
324	195	405
325	196	405
326	196	405
327	197	404
328	197	403
329	198	402
330	198	401
331	199	400
332	199	399
333	199	398
334	200	398
335	201	398
336	202	397
337	202	396
338	203	395
339	203	395
340	203	394
341	204	393
342	204	392
343	205	391
344	205	390
345	206	390
346	207	390
347	209	392
348	210	392
349	210	391
350	211	390
351	211	389
352	212	389
353	213	389
354	214	388
355	214	388
356	214	387
357	215	386
358	215	385
359	216	384
360	216	383
361	217	382
362	217	381
363	218	381
364	218	380
365	219	380
366	219	379
367	220	378
368	221	378
369	221	377
370	222	376
371	222	375
372	222	374
373	223	374
374	223	373
375	224	372
376	225	372
377	225	371
378	226	371
379	226	370
380	227	369
381	227	368
382	228	368
383	229	368
384	230	367
385	230	366
386	231	366
387	231	365
388	232	364
389	232	364
390	233	363
391	234	363
392	234	362
393	235	362
394	235	361
395	236	360
396	237	360
397	237	359
398	238	358
399	238	357
400	239	357
401	239	356
402	240	355
403	240	354
404	241	354
405	241	353
406	242	353
407	243	352
408	243	351
409	243	351
410	244	350
411	244	349
412	245	348
413	245	347
414	246	347
415	246	346
416	247	345
417	248	345
418	249	346
419	250	345
420	251	345
421	251	344
422	252	344
423	252	343
424	253	342
425	253	341
426	254	341
427	254	340
428	255	339
429	256	339
430	256	338
431	257	338
432	257	337
433	258	336
434	258	335
435	259	335
436	259	334
437	260	334
438	261	333
439	261	332
440	262	332
441	262	331
442	262	330
443	263	329
